id	position_raw	position_kk	position_ru	status	source_url	review_notes
142	председатель Жетысуского регионального филиала «Партии «Ауыл», руководитель Жетысуского филиала РГП «Республиканский противоэпизоотический отряд»	«Ауыл» партиясы Жетісу облыстық филиалының төрағасы, «Республикалық эпизоотияға қарсы жасағы» РМК Жетісу филиалының басшысы	председатель Жетысуского регионального филиала «Партии «Ауыл», руководитель Жетысуского филиала РГП «Республиканский противоэпизоотический отряд»	APPROVED	machine:google-translate	Approved by user
143	председатель регионального филиала «Партии «Ауыл» по Атырауской области	Атырау облысы бойынша «Ауыл партиясы» облыстық филиалының төрағасы	председатель регионального филиала «Партии «Ауыл» по Атырауской области	APPROVED	machine:google-translate	Approved by user
144	декан факультета экономики и права Костанайского университета им. А. Байтұрсынұлы	Қостанай университетінің экономика және құқық факультетінің деканы. А.Байтұрсынұлы	декан факультета экономики и права Костанайского университета им. А. Байтұрсынұлы	APPROVED	machine:google-translate	Approved by user
145	заместитель председателя «Партии «Ауыл»-руководитель Центрального аппарата	«Ауыл» партиясы Төрағасының орынбасары – Орталық аппарат басшысы	заместитель председателя «Партии «Ауыл»-руководитель Центрального аппарата	APPROVED	machine:google-translate	Approved by user
146	директор Общественного фонда «ITeachMe» центр развития компетенций», внештатный советник министра труда и социальной защиты населения Республики Казахстан	«ITeachMe» құзыреттілікті дамыту орталығы» қоғамдық қорының директоры, Қазақстан Республикасы Еңбек және халықты әлеуметтік қорғау министрінің штаттан тыс кеңесшісі	директор Общественного фонда «ITeachMe» центр развития компетенций», внештатный советник министра труда и социальной защиты населения Республики Казахстан	APPROVED	machine:google-translate	Approved by user
147	председатель регионального филиала «Партии «Ауыл» по Алматинской области	«Ауыл партиясы» Алматы облысы бойынша облыстық филиалының төрағасы	председатель регионального филиала «Партии «Ауыл» по Алматинской области	APPROVED	machine:google-translate	Approved by user
148	исполнительный директор общественного фонда «Саналы Қоғам»	Саналы қоғам» қоғамдық қорының атқарушы директоры	исполнительный директор общественного фонда «Саналы Қоғам»	APPROVED	machine:google-translate	Approved by user
149	руководитель ТОО «Металл-инжениринг»	Металл инжиниринг» ЖШС басшысы	руководитель ТОО «Металл-инжениринг»	APPROVED	machine:google-translate	Approved by user
150	член Политсовета «Партии «Ауыл», председатель правления «Ассоциация фермеров Казахстана»	Ауыл партиясы Саяси кеңесінің мүшесі, Қазақстан фермерлер қауымдастығы басқармасының төрағасы	член Политсовета «Партии «Ауыл», председатель правления «Ассоциация фермеров Казахстана»	APPROVED	machine:google-translate	Approved by user
151	директор ТОО «Александровское»	Александровское ЖШС директоры	директор ТОО «Александровское»	APPROVED	machine:google-translate	Approved by user
152	учредитель ТОО «Basic Agro»	Базик Агро ЖШС негізін қалаушы	учредитель ТОО «Basic Agro»	APPROVED	machine:google-translate	Approved by user
153	член совета директоров ТОО «Батыс Пауэр»	Батыс Пауэр ЖШС директорлар кеңесінің мүшесі	член совета директоров ТОО «Батыс Пауэр»	APPROVED	machine:google-translate	Approved by user
154	частное учреждение «Samruk Business Academy», заместитель генерального директора	«Самұрық Бизнес Академиясы» жеке мекемесі, бас директордың орынбасары	частное учреждение «Samruk Business Academy», заместитель генерального директора	APPROVED	machine:google-translate	Approved by user
155	первый заместитель председателя «Партии «Ауыл»	«Ауыл партиясы» төрағасының бірінші орынбасары	первый заместитель председателя «Партии «Ауыл»	APPROVED	machine:google-translate	Approved by user
156	председатель регионального филиала «Партии «Ауыл» по области Ұлытау, ТОО «Корпорация Казахмыс», главный специалист	«Ауыл партиясының» Ұлытау облысы бойынша облыстық филиалы «Қазақмыс корпорациясы» ЖШС төрағасы, бас маман	председатель регионального филиала «Партии «Ауыл» по области Ұлытау, ТОО «Корпорация Казахмыс», главный специалист	APPROVED	machine:google-translate	Approved by user
157	директор ТОО «Батыс Өнім»	Батыс өнім» ЖШС директоры	директор ТОО «Батыс Өнім»	APPROVED	machine:google-translate	Approved by user
158	индивидуальный предприниматель, ИП «Жумагулова»	жеке кәсіпкер, жеке кәсіпкер «Жұмағұлова»	индивидуальный предприниматель, ИП «Жумагулова»	APPROVED	machine:google-translate	Approved by user
159	заместитель директора филиала Академии государственного управления при Президенте Республики Казахстан по городу Алматы	Қазақстан Республикасы Президентінің жанындағы Мемлекеттік басқару академиясының Алматы қаласы бойынша филиалы директорының орынбасары	заместитель директора филиала Академии государственного управления при Президенте Республики Казахстан по городу Алматы	APPROVED	machine:google-translate	Approved by user
160	заместитель председателя Комитета государственной инспекции в агропромышленном комплексе Министерства сельского хозяйства Республики Казахстан	ҚР Мемлекеттік инспекциясы комитеті төрағасының орынбасары Қазақстан Республикасының ауыл шаруашылығы	заместитель председателя Комитета государственной инспекции в агропромышленном комплексе Министерства сельского хозяйства Республики Казахстан	APPROVED	machine:google-translate	Approved by user
161	ректор Костанайского инженерно-экономического университета им. М. Дулатова	атындағы Қостанай инженерлік-экономикалық университетінің ректоры. М.Дулатова	ректор Костанайского инженерно-экономического университета им. М. Дулатова	APPROVED	machine:google-translate	Approved by user
162	руководитель Управления сельского хозяйства Восточно-Казахстанской области	Шығыс Қазақстан облысының ауыл шаруашылығы басқармасының басшысы	руководитель Управления сельского хозяйства Восточно-Казахстанской области	APPROVED	machine:google-translate	Approved by user
163	председатель Туркестанского областного филиала «Партии «Ауыл»	Ауыл партиясы Түркістан облыстық филиалының төрағасы	председатель Туркестанского областного филиала «Партии «Ауыл»	APPROVED	machine:google-translate	Approved by user
164	председатель Шымкентского городского регионального филиала «Партии «Ауыл»	Ауыл партиясы Шымкент қалалық облыстық филиалының төрағасы	председатель Шымкентского городского регионального филиала «Партии «Ауыл»	APPROVED	machine:google-translate	Approved by user
165	директор ТОО «BS Aqro продукт»	BS Aqro Product ЖШС директоры	директор ТОО «BS Aqro продукт»	APPROVED	machine:google-translate	Approved by user
166	ТОО «Национальный центр биотехнологии», заведующий лабораторией биоразнообразия и генетических ресурсов	Ұлттық биотехнология орталығы» ЖШС, Биоәртүрлілік және генетикалық ресурстар зертханасының меңгерушісі	ТОО «Национальный центр биотехнологии», заведующий лабораторией биоразнообразия и генетических ресурсов	APPROVED	machine:google-translate	Approved by user
167	Северо-Казахстанский областной маслихат, председатель постоянной комиссии Северо-Казахстанского областного маслихата по вопросам охраны здоровья населения, его социальной защиты, образования, культуры и делам молодежи	Солтүстік Қазақстан облыстық мәслихаты, Солтүстік Қазақстан облыстық мәслихатының халық денсаулығы, әлеуметтік қорғау, білім, мәдениет және жастар ісі жөніндегі тұрақты комиссиясының төрағасы	Северо-Казахстанский областной маслихат, председатель постоянной комиссии Северо-Казахстанского областного маслихата по вопросам охраны здоровья населения, его социальной защиты, образования, культуры и делам молодежи	APPROVED	machine:google-translate	Approved by user
168	председатель Алматинского городского филиала «Партии «Ауыл»	Ауыл партиясы Алматы қалалық филиалының төрағасы	председатель Алматинского городского филиала «Партии «Ауыл»	APPROVED	machine:google-translate	Approved by user
169	председатель регионального филиала «Партии «Ауыл» по Жамбылской области	Ауыл партиясы Жамбыл облысы бойынша облыстық филиалының төрағасы	председатель регионального филиала «Партии «Ауыл» по Жамбылской области	APPROVED	machine:google-translate	Approved by user
170	генеральный директор ТОО «Bugin Holding Corp»	Bugin Holding Corp ЖШС бас директоры	генеральный директор ТОО «Bugin Holding Corp»	APPROVED	machine:google-translate	Approved by user
171	директор департамента стратегического планирования и анализа Министерства экологии и природных ресурсов Республики Казахстан	Қазақстан Республикасы Экология және табиғи ресурстар министрлігі Стратегиялық жоспарлау және талдау департаментінің директоры	директор департамента стратегического планирования и анализа Министерства экологии и природных ресурсов Республики Казахстан	APPROVED	machine:google-translate	Approved by user
172	ведущий научный сотрудник РГП на ПХВ «Институт биологии и биотехнологии растений» КН МНВО РК	Қазақстан Республикасы Білім және ғылым министрлігінің «Өсімдіктер биологиясы және биотехнологиясы институты» ПВХ РФ мемлекеттік кәсіпорнының жетекші ғылыми қызметкері	ведущий научный сотрудник РГП на ПХВ «Институт биологии и биотехнологии растений» КН МНВО РК	APPROVED	machine:google-translate	Approved by user
173	советник генерального директора ТОО «Гранит Талес-Электроникс»	Granit Thales-Electronics» ЖШС бас директорының кеңесшісі	советник генерального директора ТОО «Гранит Талес-Электроникс»	APPROVED	machine:google-translate	Approved by user
174	председатель регионального филиала «Партии «Ауыл» по Кызылординской области, депутат областного маслихата	«Ауыл партиясы» Қызылорда облысы бойынша аудандық филиалының төрағасы, облыстық мәслихаттың депутаты	председатель регионального филиала «Партии «Ауыл» по Кызылординской области, депутат областного маслихата	APPROVED	machine:google-translate	Approved by user
175	заместитель директора филиала НАО «Государственная корпорация «Правительство для граждан»	«Статистика» мемлекеттік корпорациясы» АҚ филиалы директорының орынбасары Азаматтар»	заместитель директора филиала НАО «Государственная корпорация «Правительство для граждан»	APPROVED	machine:google-translate	Approved by user
176	председатель постоянной комиссии Алматинского областного маслихата по вопросам здравоохранения, образования, социальной защиты населения, развития культуры и спорта»	Алматы облыстық мәслихатының денсаулық сақтау, білім беру, халықты әлеуметтік қорғау, мәдениет және спортты дамыту мәселелері жөніндегі тұрақты комиссиясының төрағасы	председатель постоянной комиссии Алматинского областного маслихата по вопросам здравоохранения, образования, социальной защиты населения, развития культуры и спорта»	APPROVED	machine:google-translate	Approved by user
177	председатель регионального филиала «Партии «Ауыл» по Мангистауской области	«Ауыл» партиясы Маңғыстау облысы бойынша аудандық филиалының төрағасы	председатель регионального филиала «Партии «Ауыл» по Мангистауской области	APPROVED	machine:google-translate	Approved by user
178	депутат маслихата области Ұлытау, председатель сельскохозяйственного производственного кооператива «Жетіконыр»	Өнеркәсіп аудандық мәслихатының депутаты, аудандық мәслихаттың депутаты «Жетіқоңыр»	депутат маслихата области Ұлытау, председатель сельскохозяйственного производственного кооператива «Жетіконыр»	APPROVED	machine:google-translate	Approved by user
179	заместитель руководителя аппарата «Партии «Ауыл»	«Ауыл партиясы» кеңсесі меңгерушісінің орынбасары	заместитель руководителя аппарата «Партии «Ауыл»	APPROVED	machine:google-translate	Approved by user
180	директор ТОО «Vista Company 2010»	Vista Company 2010 ЖШС директоры	директор ТОО «Vista Company 2010»	APPROVED	machine:google-translate	Approved by user
181	генеральный директор ТОО «ЮДИ принт»	UDI Print ЖШС бас директоры	генеральный директор ТОО «ЮДИ принт»	APPROVED	machine:google-translate	Approved by user
182	председатель молодежного крыла «Аuyl jastary» при «Партии «Ауыл»	«Ауыл партиясы» жанындағы «Ауыл жастары» жастар қанатының төрағасы	председатель молодежного крыла «Аuyl jastary» при «Партии «Ауыл»	APPROVED	machine:google-translate	Approved by user
183	председатель постоянной комиссии Мангистауского областного маслихата	Маңғыстау облыстық мәслихатының тұрақты комиссиясының төрағасы	председатель постоянной комиссии Мангистауского областного маслихата	APPROVED	machine:google-translate	Approved by user
184	руководитель научно-производственного центра зернового хозяйства им. А.И. Бараева	атындағы астық шаруашылығы ғылыми-өндірістік орталығының басшысы. А.И. Бараева	руководитель научно-производственного центра зернового хозяйства им. А.И. Бараева	APPROVED	machine:google-translate	Approved by user
185	профессор Павлодарского педагогического университета им. А. Маргулана	атындағы Павлодар педагогикалық университетінің профессоры. Ә.Марғұлан	профессор Павлодарского педагогического университета им. А. Маргулана	APPROVED	machine:google-translate	Approved by user
186	учредитель учреждения «Международный Таразский университет им. Шерхана Муртазы»	«Шерхан Мұртаза атындағы Халықаралық Тараз университеті» мекемесінің негізін қалаушы	учредитель учреждения «Международный Таразский университет им. Шерхана Муртазы»	APPROVED	machine:google-translate	Approved by user
187	директор Актюбинского филиала «Национального центра экспертизы и сертификации»	«Ұлттық сараптау және сертификаттау орталығы» Ақтөбе филиалының директоры	директор Актюбинского филиала «Национального центра экспертизы и сертификации»	APPROVED	machine:google-translate	Approved by user
188	руководитель аппарата фракции «Партии «Ауыл» в Мажилисе Парламента Республики Казахстан	Парламент» ҚР Парламенті Мәжілісі Аппаратының жетекшісі Қазақстан	руководитель аппарата фракции «Партии «Ауыл» в Мажилисе Парламента Республики Казахстан	APPROVED	machine:google-translate	Approved by user
189	председатель Общественного объединения «Общество инвалидов» Capable Group», директор ТОО «Төрт Таға»	«Қабілеттік тобы мүгедектер қоғамы» қоғамдық бірлестігінің төрағасы, «Төрт таға» ЖШС директоры	председатель Общественного объединения «Общество инвалидов» Capable Group», директор ТОО «Төрт Таға»	APPROVED	machine:google-translate	Approved by user
190	декан аграрного факультета ЮКЗУ им. М. Ауэзова	атындағы ОҚЗУ аграрлық факультетінің деканы. М.Әуезова	декан аграрного факультета ЮКЗУ им. М. Ауэзова	APPROVED	machine:google-translate	Approved by user
191	вице-президент холдинговой компании АО «Aitas-KZ»	«Айтас-KZ» АҚ холдингінің вице-президенті	вице-президент холдинговой компании АО «Aitas-KZ»	APPROVED	machine:google-translate	Approved by user
192	учитель Школа-гимназия №34 им. Асана Тайманова города Уральска	№34 мектеп-гимназиясының мұғалімі. Орал қаласы	учитель Школа-гимназия №34 им. Асана Тайманова города Уральска	APPROVED	machine:google-translate	Approved by user
193	менеджер проекта в КХ «Нуралы»	Нұралы шаруа қожалығының жоба жетекшісі	менеджер проекта в КХ «Нуралы»	APPROVED	machine:google-translate	Approved by user
194	НАО «Медицинский университет Астана», председатель правления - ректор	«Астана медицина университеті» КЕАҚ, Басқарма төрағасы – ректор	НАО «Медицинский университет Астана», председатель правления - ректор	APPROVED	machine:google-translate	Approved by user
195	заведующая отделом аппарата Мажилиса Парламента Республики Казахстан	Қазақстан Республикасы Парламенті Мәжілісі	заведующая отделом аппарата Мажилиса Парламента Республики Казахстан	APPROVED	machine:google-translate	Approved by user
196	индивидуальный предприниматель «Bilgir Studio»	"жеке кәсіпкер ""Bilgir Studio"""	индивидуальный предприниматель «Bilgir Studio»	APPROVED	machine:google-translate	Approved by user
197	президент учреждения «Международная академия экологии», председатель ОЮЛ «Международная ассоциация производителей экологической чистой продукции»	"""Халықаралық Экология академиясы"" мекемесінің президенті, ""Экологиялық таза өнімдерді өндірушілердің халықаралық қауымдастығы"" ALE төрағасы"	президент учреждения «Международная академия экологии», председатель ОЮЛ «Международная ассоциация производителей экологической чистой продукции»	APPROVED	machine:google-translate	Approved by user
198	директор НИИ «Центр исследования цифрового права и глобальных технологий»	"The Global Research Institute of Digital Research and ""198"">""Халықаралық экология академиясы"" Technologies»"	директор НИИ «Центр исследования цифрового права и глобальных технологий»	APPROVED	machine:google-translate	Approved by user
199	председатель Казахстанской партии зеленых «Байтақ»	Қазақстандық «Байтақ» Жасылдар партиясының төрағасы	председатель Казахстанской партии зеленых «Байтақ»	APPROVED	machine:google-translate	Approved by user
200	адвокат Туркестанской областной коллегии адвокатов	Түркістан облыстық адвокаттар алқасының заңгері	адвокат Туркестанской областной коллегии адвокатов	APPROVED	machine:google-translate	Approved by user
201	юрист Казахстанской партии зеленых «Байтақ»	Қазақстандық «Байтақ» Жасылдар партиясының заңгері	юрист Казахстанской партии зеленых «Байтақ»	APPROVED	machine:google-translate	Approved by user
202	директор ТОО «Tau Ken Geology»	Тау Кен Геология ЖШС директоры	директор ТОО «Tau Ken Geology»	APPROVED	machine:google-translate	Approved by user
203	главный врач ТОО «Медицинский центр клеточных технологий»	Cell Technologies медициналық орталығы ЖШС бас дәрігері	главный врач ТОО «Медицинский центр клеточных технологий»	APPROVED	machine:google-translate	Approved by user
204	генеральный директор ТОО «БатысСуШар»	БатысСуШар ЖШС бас директоры	генеральный директор ТОО «БатысСуШар»	APPROVED	machine:google-translate	Approved by user
205	директор ТОО «Baiterek Engineering»	Бәйтерек Инжиниринг ЖШС директоры	директор ТОО «Baiterek Engineering»	APPROVED	machine:google-translate	Approved by user
206	председатель Акмолинского областного филиала Казахстанской партии зеленых «Байтақ»	Қазақстандық жасылдар «Байтақ» партиясы Ақмола облыстық филиалының төрағасы	председатель Акмолинского областного филиала Казахстанской партии зеленых «Байтақ»	APPROVED	machine:google-translate	Approved by user
207	заместитель директора ТОО «Paradigm Shift»	Paradigm Shift ЖШС директорының орынбасары	заместитель директора ТОО «Paradigm Shift»	APPROVED	machine:google-translate	Approved by user
208	ИП «ArtLab»	"IP ""ArtLab"""	ИП «ArtLab»	APPROVED	machine:google-translate	Approved by user
209	исполнительный секретарь Восточно- Казахстанского областного филиала Казахстанской партии зеленых «Байтақ»	Қазақстандық «Байтақ» жасылдар партиясы Шығыс Қазақстан облыстық филиалының жауапты хатшысы	исполнительный секретарь Восточно- Казахстанского областного филиала Казахстанской партии зеленых «Байтақ»	APPROVED	machine:google-translate	Approved by user
210	директор ТОО «СПМК-5»	СПМК-5 ЖШС директоры	директор ТОО «СПМК-5»	APPROVED	machine:google-translate	Approved by user
211	заместитель директора АО «НК «ҚТЖ» - дирекция магистральной сети	ҚТЖ ҰК» АҚ директорының орынбасары - Магистральдық желі дирекциясы	заместитель директора АО «НК «ҚТЖ» - дирекция магистральной сети	APPROVED	machine:google-translate	Approved by user
212	общественный деятель	Қоғам қайраткері	общественный деятель	APPROVED	machine:google-translate	Approved by user
213	председатель Президиума Республиканской палаты частных судебных исполнителей	Республикалық жеке сот орындаушылар палатасы президиумының төрағасы	председатель Президиума Республиканской палаты частных судебных исполнителей	APPROVED	machine:google-translate	Approved by user
214	директор ТОО «Семстройлидер»	Семстройлидер» ЖШС директоры	директор ТОО «Семстройлидер»	APPROVED	machine:google-translate	Approved by user
215	председатель постоянной комиссии по социальному и культурному развитию Атырауского областного маслихата	Атырау облыстық мәслихатының әлеуметтік-мәдени даму мәселелері жөніндегі тұрақты комиссиясының төрағасы	председатель постоянной комиссии по социальному и культурному развитию Атырауского областного маслихата	APPROVED	machine:google-translate	Approved by user
216	заместитель заведующего отделом аппарата Мажилиса Парламента РК	Қазақстан Республикасы Парламенті Мәжілісі Аппаратының бөлім меңгерушісінің орынбасары	заместитель заведующего отделом аппарата Мажилиса Парламента РК	APPROVED	machine:google-translate	Approved by user
217	менеджер проекта ТОО «Salplanet»	Salplanet ЖШС жоба жетекшісі	менеджер проекта ТОО «Salplanet»	APPROVED	machine:google-translate	Approved by user
218	исполнительный директор KTZ Express	KTZ Express атқарушы директоры	исполнительный директор KTZ Express	APPROVED	machine:google-translate	Approved by user
219	секретарь по вопросам зеленой экономики Казахстанской партии зелёных «Байтақ»	Қазақстандық «Байтақ» жасылдар партиясының жасыл экономика жөніндегі хатшысы	секретарь по вопросам зеленой экономики Казахстанской партии зелёных «Байтақ»	APPROVED	machine:google-translate	Approved by user
220	заместитель директора ТОО «ATON+»	ATON+ ЖШС директорының орынбасары	заместитель директора ТОО «ATON+»	APPROVED	machine:google-translate	Approved by user
221	директор ТОО «Наше право»	«Біздің заң» ЖШС директоры	директор ТОО «Наше право»	APPROVED	machine:google-translate	Approved by user
222	первый заместитель председателя правления НАО «Республиканская физико- математическая школа»	«Республикалық физика-математика мектебі» КЕАҚ басқарма төрағасының бірінші орынбасары	первый заместитель председателя правления НАО «Республиканская физико- математическая школа»	APPROVED	machine:google-translate	Approved by user
223	специалист по коммерциализацииТОО «Азия-Auto Казахстан»	Азия-Авто Қазақстан ЖШС коммерцияландыру жөніндегі маман	специалист по коммерциализацииТОО «Азия-Auto Казахстан»	APPROVED	machine:google-translate	Approved by user
224	самозанятая	өзін-өзі жұмыспен қамтыған	самозанятая	APPROVED	machine:google-translate	Approved by user
225	ИП «Alma»	"IP ""Алма"""	ИП «Alma»	APPROVED	machine:google-translate	Approved by user
226	руководитель Центрального аппарата Казахстанской партии зеленых «Байтақ»	Қазақстандық «Байтақ» Жасылдар партиясы Орталық аппаратының басшысы	руководитель Центрального аппарата Казахстанской партии зеленых «Байтақ»	APPROVED	machine:google-translate	Approved by user
227	самозанятый	Өзін-өзі жұмыспен қамтыған	самозанятый	APPROVED	machine:google-translate	Approved by user
228	начальник отдела охраны окружающей среды ТОО «ПетроКазахстан Ойл Продактс»	ПетроҚазақстан Ойл Продактс ЖШС қоршаған ортаны қорғау бөлімінің бастығы	начальник отдела охраны окружающей среды ТОО «ПетроКазахстан Ойл Продактс»	APPROVED	machine:google-translate	Approved by user
229	учитель школы-гимназии № 131	№131 мектеп-гимназиясының мұғалімі	учитель школы-гимназии № 131	APPROVED	machine:google-translate	Approved by user
230	директор ТОО «КазОйлЭнерджи»	KazOilEnergy ЖШС директоры	директор ТОО «КазОйлЭнерджи»	APPROVED	machine:google-translate	Approved by user
231	ИП «Томирис»	"IP ""Томирис"""	ИП «Томирис»	APPROVED	machine:google-translate	Approved by user
232	директор ТОО «Bbi Project»	"""Bbi Project"" ЖШС директоры"	директор ТОО «Bbi Project»	APPROVED	machine:google-translate	Approved by user
233	руководитель аппарата ГУ «Аппарат акима Толебийского района Туркестанской области»	"""Түркістан облысы Төлеби ауданы әкімінің аппараты"" мемлекеттік мекемесінің аппарат басшысы"	руководитель аппарата ГУ «Аппарат акима Толебийского района Туркестанской области»	APPROVED	machine:google-translate	Approved by user
234	генеральный директор ТОО «Атыраугидрогеология»	Атыраугидрогеология ЖШС бас директоры	генеральный директор ТОО «Атыраугидрогеология»	APPROVED	machine:google-translate	Approved by user
235	врач стамотолог стоматологии ALFA-DENT»	ALFA-DENT Dentistry стоматологы	врач стамотолог стоматологии ALFA-DENT»	APPROVED	machine:google-translate	Approved by user
236	заместитель директора ГККП «Колледж № 7» управления образования Туркестанской области	Түркістан облысы білім басқармасының «No7 колледж» мемлекеттік қазыналық кәсіпорны директорының орынбасары	заместитель директора ГККП «Колледж № 7» управления образования Туркестанской области	APPROVED	machine:google-translate	Approved by user
237	директор ТОО «Eco Madeniet»	Эко Мәдениет» ЖШС директоры	директор ТОО «Eco Madeniet»	APPROVED	machine:google-translate	Approved by user
238	управляющий директор по безопасности ТОО «RS-ЖОЛ СЕРВИС»	RS-ZHOL SERVICE ЖШС қауіпсіздік жөніндегі басқарушы директоры	управляющий директор по безопасности ТОО «RS-ЖОЛ СЕРВИС»	APPROVED	machine:google-translate	Approved by user
239	директор ТОО «Астанинская Энергосбытовая компания»	Astana Energy Sales Company ЖШС директоры	директор ТОО «Астанинская Энергосбытовая компания»	APPROVED	machine:google-translate	Approved by user
240	исполнительный секретарь Казахстанской партии зеленых «Байтақ»	«Байтақ» Қазақстан жасыл партиясының атқарушы хатшысы	исполнительный секретарь Казахстанской партии зеленых «Байтақ»	APPROVED	machine:google-translate	Approved by user
241	начальник отдела бурения и КПРС ТОО «KazPetrol Group»	KazPetrol Group ЖШС бұрғылау және ұңғымаларды бақылау бөлімінің бастығы	начальник отдела бурения и КПРС ТОО «KazPetrol Group»	APPROVED	machine:google-translate	Approved by user
242	директор ТОО «АS-ЖОЛ СЕРВИС»	AS-ZHOL SERVICE ЖШС директоры	директор ТОО «АS-ЖОЛ СЕРВИС»	APPROVED	machine:google-translate	Approved by user
243	советник директора ТОО «Inter Group Story Invest»	Inter Group Story Invest ЖШС директорының кеңесшісі	советник директора ТОО «Inter Group Story Invest»	APPROVED	machine:google-translate	Approved by user
244	член правления Союза машиностроителей Казахстана	Қазақстан Инженерлік машина жасаушылар одағы басқармасының мүшесі	член правления Союза машиностроителей Казахстана	APPROVED	machine:google-translate	Approved by user
245	председатель Павлодарского областного филиала ОО «Народная партия Казахстана»	«Қазақстан Халық партиясы» ҚБ Павлодар облыстық филиалының төрағасы	председатель Павлодарского областного филиала ОО «Народная партия Казахстана»	APPROVED	machine:google-translate	Approved by user
246	председатель Жамбылского областного филиала ОО «Народная партия Казахстана»	«Қазақстан Халық партиясы» ҚБ Жамбыл облыстық филиалының төрағасы	председатель Жамбылского областного филиала ОО «Народная партия Казахстана»	APPROVED	machine:google-translate	Approved by user
247	генеральный директор РГП на ПХВ «Республиканский научно-исследовательский институт по охране труда»	«Еңбекті қорғау жөніндегі республикалық ғылыми-зерттеу институты» РМК жанындағы республикалық мемлекеттік кәсіпорнының бас директоры	генеральный директор РГП на ПХВ «Республиканский научно-исследовательский институт по охране труда»	APPROVED	machine:google-translate	Approved by user
248	артист-солист эстрадного отдела РГКП Государственная академическая концертная организация «Қазақконцерт имени Розы Баглановой» Комитета культуры Министерства культуры и информации Республики Казахстан. председатель Комиссии по культуре Общественного совета Министерства культуры и информации Республики Казахстан	Қазақстан Республикасы Мәдениет және ақпарат министрлігі Мәдениет комитетінің «Роза Бағланова атындағы қазақ концерті» РГКП Мемлекеттік академиялық концерттік ұйымы эстрада бөлімінің әртісі-солисті. Қазақстан Республикасы Мәдениет және ақпарат министрлігі Қоғамдық кеңесінің Мәдениет комиссиясының төрағасы	артист-солист эстрадного отдела РГКП Государственная академическая концертная организация «Қазақконцерт имени Розы Баглановой» Комитета культуры Министерства культуры и информации Республики Казахстан. председатель Комиссии по культуре Общественного совета Министерства культуры и информации Республики Казахстан	APPROVED	machine:google-translate	Approved by user
