party_id	order	name	google_search	wiki_pageviews	social_followers	media_mentions	total_index
respublica	47	Мәдәлі Мейрамгүл Ералықызы	120	0	8950	3	53.66
respublica	50	Мұхамеджан Ерболат Амангелдіұлы	120	0	8950	3	53.66
adilet	23	Ашимова Ульяна Жумагалиевна	120	0	8950	3	53.66
adilet	105	Матжани Нурбек Сеилханулы	120	0	8950	3	53.66
adilet	160	Тен Ирина Сергеевна	120	0	8950	3	53.66
adilet	165	Тоқтамұрат Армангүл	120	0	8950	3	53.66
npk	29	Жанқұл Тамараасар Қалниязқызы	120	0	6950	3	52.59
npk	52	Нигматулина Венера Махаметовна	120	0	6950	3	52.59
adilet	69	Есматов Серик Аманжолулы	120	0	6950	3	52.59
ak_zhol	6	Бейсенбаев Ержан Алмабекович	1664	180	450	40	52.08
auyl	11	Арсютин Николай Геннадьевич	1718	248	450	28	51.79
respublica	3	Абдугалиева Асель Жоломановна	2420	0	450	15	51.74
ak_zhol	2	Арыстанова Айгерим Атыгаевна	2420	0	450	15	51.74
npk	2	Абдрахманов Темиржан Кайратович	2420	0	450	15	51.74
osdp	2	Ақылбай Арман Серікұлы	2420	0	450	15	51.74
osdp	4	Алшынбай Ару Мұратқызы	2420	0	450	15	51.74
adilet	5	Адаев Ербол Даненович	2420	0	450	15	51.74
auyl	3	Абдуразакова София Ринатовна	1620	0	450	15	50.62
baitaq	4	Амиртаев Сапар Абдраманович	1620	0	450	15	50.62
baitaq	5	Аскаров Бекзат Ерикович	1620	0	450	15	50.62
osdp	5	Андрюшин Максим Валерьевич	1620	0	450	15	50.62
respublica	65	Сураган Дурвудхан	852	916	450	28	50.6
npk	64	Сүлеймен Ләззат Жаңылысқызы	1080	201	450	28	50.47
ak_zhol	10	Джумагалиев Рустам Айсултанович	1520	0	450	15	50.44
osdp	7	Аубакирова Раушан Абдрахманқызы	1520	0	450	15	50.44
osdp	9	Әбдиев Еркін Қайырбекұлы	1520	0	450	15	50.44
adilet	88	Кәрібек Дәулет Жамаубайұлы	628	635	450	28	49.62
respublica	19	Боярова Маргарита Владимировна	120	0	3250	3	49.36
respublica	26	Дуйсенбаева Малика Муратжановна	120	0	3250	3	49.36
respublica	41	Конилхан Алия	120	0	3250	3	49.36
respublica	46	Марклен Азамат Ержанулы	120	0	3250	3	49.36
respublica	51	Мухамедрахимова Анаргуль Хаиржановна	120	0	3250	3	49.36
respublica	57	Сагади Сауле	120	0	3250	3	49.36
respublica	67	Темірхан Нұрсұлтан Талғатұлы	120	0	3250	3	49.36
respublica	70	Уразгалиева Зульфия Мергеновна	120	0	3250	3	49.36
ak_zhol	18	Жаукебаев Бек-Мүхаммед Мейірбекұлы	120	0	3250	3	49.36
ak_zhol	41	Өмірғали Ерлік Қайдарұлы	120	0	3250	3	49.36
ak_zhol	56	Уткин Сергей Геннадьевич	120	0	3250	3	49.36
ak_zhol	58	Хасанов Ержан Кайржанович	120	0	3250	3	49.36
auyl	31	Жумагулова Диляра Темиргалиевна	120	0	3250	3	49.36
auyl	46	Мұқатов Қажғалей Сипуллаұлы	120	0	3250	3	49.36
auyl	69	Устемирова Айнагуль Амантаевна	120	0	3250	3	49.36
baitaq	21	Кенжалиев Эльнар Багдаулетович	120	0	3250	3	49.36
baitaq	27	Кыдырбаев Ерлан Жайлаубаевич	120	0	3250	3	49.36
baitaq	28	Қадырбаева Нұргүл Жұмахметқызы	120	0	3250	3	49.36
baitaq	29	Қараш Алма	120	0	3250	3	49.36
baitaq	31	Мартель Владимир Александрович	120	0	3250	3	49.36
baitaq	35	Ордабеков Айдос Бахытжанулы	120	0	3250	3	49.36
baitaq	46	Файзулин Тамирлан Банияминович	120	0	3250	3	49.36
npk	20	Биякаев Нуржан Темиргалиевич	120	0	3250	3	49.36
npk	32	Илиев Фарух Абдувалиевич	120	0	3250	3	49.36
adilet	125	Парсегова Анжелика Борисовна	120	0	3250	3	49.36
adilet	146	Семидоцких Елена Александровна	120	0	3250	3	49.36
adilet	152	Сулейменова Айсулу Канатовна	120	0	3250	3	49.36
adilet	168	Төлегенов Асылжан Қанатұлы	120	0	3250	3	49.36
auyl	65	Траисова Эльмара Аскаровна	552	540	450	28	49.2
npk	9	Аргумбаев Данияр Даулеткелдиевич	720	0	450	15	48.36
osdp	10	Баекенов Камбар Абдысатарович	720	0	450	15	48.36
adilet	7	Адамбек Кендебай Сарыбайұлы	720	0	450	15	48.36
respublica	12	Ахметов Сеилжан Адилханович	1520	0	450	3	48.05
respublica	14	Балғожа Айнаш Қабибуллақызы	1520	0	450	3	48.05
ak_zhol	13	Елубаева Марал Куандыковна	1520	0	450	3	48.05
auyl	12	Аскаров Канат Каирлыевич	1520	0	450	3	48.05
auyl	13	Ахметова Балнур Сериковна	1520	0	450	3	48.05
baitaq	13	Джакишев Алмаз Ажибекович	1520	0	450	3	48.05
npk	15	Балыкбаева Асемгуль Асылбековна	1520	0	450	3	48.05
adilet	11	Алимкулов Бекжан Мухидинұлы	1520	0	450	3	48.05
adilet	12	Алтай Абай	1520	0	450	3	48.05
respublica	24	Доскалиев Айдос Жаксылыкович	920	0	450	3	46.64
respublica	49	Муратбеков Даурен Булатович	920	0	450	3	46.64
respublica	69	Тулеубаева Анар Абетаевна	920	0	450	3	46.64
ak_zhol	27	Кинцель Евгений Юрьевич	920	0	450	3	46.64
ak_zhol	38	Мусапарбеков Канат Жантуякович	920	0	450	3	46.64
ak_zhol	43	Ракишева Алия Булатовна	920	0	450	3	46.64
ak_zhol	45	Сағымбекұлы Абзалбек	920	0	450	3	46.64
auyl	17	Байкин Айдар Косымович	920	0	450	3	46.64
auyl	27	Досхожаев Ильяс Алмасханович	920	0	450	3	46.64
auyl	32	Идрисова Айнур Маратовна	920	0	450	3	46.64
auyl	33	Иргибаев Мурат Саматович	920	0	450	3	46.64
auyl	35	Каджибекова Ажар Елемесовна	920	0	450	3	46.64
auyl	39	Киян Владимир Сергеевич	920	0	450	3	46.64
auyl	44	Мухаметжанов Арнур Сагиндыкович	920	0	450	3	46.64
auyl	48	Нугманова Самал Болатовна	920	0	450	3	46.64
auyl	52	Ораш Нұрхат Серікқалиұлы	920	0	450	3	46.64
auyl	55	Рахымбек Дәурен Берікбайұлы	920	0	450	3	46.64
auyl	60	Сәрсенбаев Марлен Ибрагимұлы	920	0	450	3	46.64
auyl	61	Султанкулова Жазира Кайратовна	920	0	450	3	46.64
auyl	63	Тастанбекова Гульнара Рахимбердыевна	920	0	450	3	46.64
auyl	68	Турумбаева Жанна Куатовна	920	0	450	3	46.64
baitaq	20	Камытбекова Сауле Жайлауовна	920	0	450	3	46.64
baitaq	23	Керей Бекберген Дүйсенбайұлы	920	0	450	3	46.64
baitaq	26	Кунгожин Алмаз Мухамбетович	920	0	450	3	46.64
baitaq	37	Өміртай Амалбек Даркенұлы	920	0	450	3	46.64
baitaq	40	Садинов Самат Камысбаевич	920	0	450	3	46.64
baitaq	44	Туртаев Алмат Керимбаевич	920	0	450	3	46.64
npk	18	Беркамалов Серик Нуртазаевич	920	0	450	3	46.64
npk	19	Бидайбеков Жандос Зарипович	920	0	450	3	46.64
npk	27	Едильбаева Лаура Ибрагимовна	920	0	450	3	46.64
npk	38	Кайдаров Айдын Серикказыевич	920	0	450	3	46.64
npk	44	Курумбаев Надир Шамуратович	920	0	450	3	46.64
npk	50	Маханов Муратбек Мамытханович	920	0	450	3	46.64
npk	55	Оразханов Нурдаулет Амантаевич	920	0	450	3	46.64
npk	72	Шонаева Елена Геннадьевна	920	0	450	3	46.64
osdp	16	Жабаев Нурлан Койшыбаевич	920	0	450	3	46.64
osdp	22	Ли Лариса Юрьевна	920	0	450	3	46.64
adilet	26	Базенов Айрат Базенович	920	0	450	3	46.64
adilet	32	Балташева Айнагуль Кыдырбаевна	920	0	450	3	46.64
adilet	50	Данағұлов Ербол Жеткергенұлы	920	0	450	3	46.64
adilet	53	Дауталиев Казыбек Нурсеитович	920	0	450	3	46.64
adilet	64	Ергарин Даурен Тлекович	920	0	450	3	46.64
adilet	67	Ерниязова Айсулу Алимжановна	920	0	450	3	46.64
adilet	80	Каипов Даурен Айтасович	920	0	450	3	46.64
adilet	96	Кожахметова Лаззат Таймыровна	920	0	450	3	46.64
adilet	101	Құрмансейіт Ақжол Ахатұлы	920	0	450	3	46.64
adilet	107	Мекеева Жанат Жумагазиновна	920	0	450	3	46.64
adilet	112	Мухтарова Назгуль Батыржановна	920	0	450	3	46.64
adilet	127	Петров Константин Викторович	920	0	450	3	46.64
adilet	137	Сагимбаева Жулдуз Абдипулатовна	920	0	450	3	46.64
adilet	170	Туренова Калия Батталовна	920	0	450	3	46.64
adilet	172	Усанова Руфина Касымовна	920	0	450	3	46.64
adilet	184	Шибутов Марат Максумович	920	0	450	3	46.64
respublica	15	Бейсембаева Сабина Сакеновна	720	0	450	3	45.96
auyl	14	Бабамуратов Даурен Абуталипович	720	0	450	3	45.96
npk	11	Ауезова Эльмира Тугелбаевна	720	0	450	3	45.96
adilet	14	Амиргалиев Мадияр Орынтаевич	720	0	450	3	45.96
respublica	16	Бергенев Чингиз Адылгазыевич	120	0	450	3	40.96
respublica	17	Болысов Тохтар Коммунарович	120	0	450	3	40.96
respublica	29	Жампеисов Думан Абильтаевич	120	0	450	3	40.96
respublica	68	Тогизбаева Айдана Кенбаевна	120	0	450	3	40.96
ak_zhol	51	Сыздыков Саят Толегенулы	120	0	450	3	40.96
ak_zhol	54	Тулебаев Исламбек Насруллаевич	120	0	450	3	40.96
ak_zhol	59	Шагимолдин Ержан Омирканович	120	0	450	3	40.96
ak_zhol	61	Шимиров Мухтар Аскарович	120	0	450	3	40.96
auyl	25	Джакашев Ернар Камидинович	120	0	450	3	40.96
auyl	40	Клишина Ольга Геннадьевна	120	0	450	3	40.96
auyl	45	Мухаметов Алмас Ерекұлы	120	0	450	3	40.96
auyl	49	Нурбеков Болатжан Саймасаевич	120	0	450	3	40.96
auyl	51	Омарова Гульназ Шинтуриновна	120	0	450	3	40.96
auyl	56	Рзаханов Максат Кикбаевич	120	0	450	3	40.96
auyl	58	Сағындықұлы Бекен	120	0	450	3	40.96
auyl	66	Тулеуова Камшат Шакирбековна	120	0	450	3	40.96
baitaq	19	Каметов Бакыт Хабидуллаевич	120	0	450	3	40.96
baitaq	33	Мусаев Улан Жолдошбекович	120	0	450	3	40.96
baitaq	39	Сагимбаев Таир Амантаевич	120	0	450	3	40.96
npk	16	Бегалинов Алибек Серикбекович	120	0	450	3	40.96
npk	17	Беглова Александра Леонидовна	120	0	450	3	40.96
npk	21	Біләл Уатхан Қабылтайұлы	120	0	450	3	40.96
npk	23	Гноевой Игорь Андреевич	120	0	450	3	40.96
npk	46	Қанатұлы Аман	120	0	450	3	40.96
npk	59	Рысбеков Марлен Жаксыбекович	120	0	450	3	40.96
npk	60	Сеитов Совет Саутович	120	0	450	3	40.96
npk	66	Сыдыкова Карлыгаш Нурдаулетовна	120	0	450	3	40.96
npk	68	Уалихан Жандос Шоханұлы	120	0	450	3	40.96
osdp	20	Кульмагамбетов Аслан Мухтарович	120	0	450	3	40.96
osdp	21	Кусаинова Анара Бахытовна	120	0	450	3	40.96
osdp	33	Татиков Талгат Кайруллович	120	0	450	3	40.96
adilet	24	Әбілов Алпамыс Сұнгатұлы	120	0	450	3	40.96
adilet	27	Байбеков Шалкар Заманбекович	120	0	450	3	40.96
adilet	48	Газдиева Белла Асланбековна	120	0	450	3	40.96
adilet	65	Ергешбек Нұрсадық	120	0	450	3	40.96
adilet	72	Жумагазиев Эльдар Тынышбаевич	120	0	450	3	40.96
adilet	82	Калижанова Сандугаш Каиргельдиновна	120	0	450	3	40.96
adilet	87	Каринова Шолпан Танаткызы	120	0	450	3	40.96
adilet	89	Кемалов Мейрамбай Тамабаевич	120	0	450	3	40.96
adilet	106	Медеуова Дана Теміртайқызы	120	0	450	3	40.96
adilet	116	Нарымбетов Бахадыр Мадалиевич	120	0	450	3	40.96
adilet	123	Оспанов Шота Сабитбекович	120	0	450	3	40.96
adilet	132	Рахметова Айзада Нурлановна	120	0	450	3	40.96
adilet	139	Садвакасова Динара Тайбасаровна	120	0	450	3	40.96
adilet	162	Теренченко Илья Сергеевич	120	0	450	3	40.96
adilet	164	Тойлыбаева Гулнар Кожагуловна	120	0	450	3	40.96
adilet	175	Хайруллиев Мұса Қарашаұлы	120	0	450	3	40.96
adilet	176	Хайруллин Арман Габидуллаевич	120	0	450	3	40.96
adilet	180	Шалбаева Айгуль Дуйсеновна	120	0	450	3	40.96
